[layered] start gain 8.0 threshold 0.2 kept 0.388 (57s)
[layered] ep 1 batch 0 loss 2.236 kc 0.049 (58s)
[layered] ep 1 batch 100 loss 1.607 kc 0.047 (102s)
[layered] ep 1 batch 200 loss 1.474 kc 0.050 (145s)
[layered] ep 1 batch 300 loss 1.579 kc 0.049 (189s)
[layered] ep 1 batch 400 loss 1.397 kc 0.063 (234s)
[layered] ep 1 batch 500 loss 1.406 kc 0.082 (277s)
[layered] ep 1 batch 600 loss 1.419 kc 0.076 (322s)
[layered] ep 1 batch 700 loss 1.560 kc 0.090 (365s)
[layered] ep 1 batch 800 loss 1.643 kc 0.065 (408s)
[layered] ep 1 batch 900 loss 1.493 kc 0.074 (452s)
[layered] ep 1 batch 1000 loss 1.561 kc 0.077 (496s)
[layered] ep 1 batch 1100 loss 1.523 kc 0.074 (539s)
[layered] ep 1 batch 1200 loss 1.487 kc 0.087 (972s)
[layered] ep 1 batch 1300 loss 1.309 kc 0.077 (1018s)
[layered] ep 1 batch 1400 loss 1.431 kc 0.079 (1065s)
[layered] ep 1 batch 1500 loss 1.470 kc 0.090 (1109s)
[layered] ep 1 batch 1600 loss 1.481 kc 0.066 (1155s)
[layered] ep 1 batch 1700 loss 1.370 kc 0.094 (1199s)
[layered] ep 1 batch 1800 loss 1.524 kc 0.091 (1244s)
[layered] ep 1 batch 1900 loss 1.454 kc 0.090 (1288s)
[layered] ep 1 batch 2000 loss 1.483 kc 0.090 (1332s)
[layered] ep 1 batch 2100 loss 1.542 kc 0.074 (1376s)
[layered] ep 1 batch 2200 loss 1.525 kc 0.064 (1420s)
[layered] ep 1 batch 2300 loss 1.501 kc 0.074 (1464s)
[layered] ep 1 batch 2400 loss 1.506 kc 0.089 (1509s)
[layered] ep 1 batch 2500 loss 1.382 kc 0.072 (1553s)
[layered] ep 1 batch 2600 loss 1.409 kc 0.093 (1597s)
[layered] ep 1 batch 2700 loss 1.367 kc 0.081 (1641s)
[layered] ep 1 batch 2800 loss 1.373 kc 0.099 (1685s)
[layered] ep 1 batch 2900 loss 1.387 kc 0.100 (1729s)
[layered] epoch 1: loss 1.469 val 0.394 (1807s)
[layered] ep 2 batch 0 loss 1.034 kc 0.105 (1808s)
[layered] ep 2 batch 100 loss 1.436 kc 0.114 (1851s)
[layered] ep 2 batch 200 loss 1.341 kc 0.111 (1895s)
[layered] ep 2 batch 300 loss 1.380 kc 0.108 (1939s)
[layered] ep 2 batch 400 loss 1.404 kc 0.102 (1983s)
[layered] ep 2 batch 500 loss 1.434 kc 0.126 (2026s)
[layered] ep 2 batch 600 loss 1.395 kc 0.100 (2070s)
[layered] ep 2 batch 700 loss 1.513 kc 0.089 (2113s)
[layered] ep 2 batch 800 loss 1.396 kc 0.106 (2156s)
[layered] ep 2 batch 900 loss 1.364 kc 0.100 (2199s)
[layered] ep 2 batch 1000 loss 1.324 kc 0.100 (2243s)
[layered] ep 2 batch 1100 loss 1.445 kc 0.091 (2287s)
[layered] ep 2 batch 1200 loss 1.400 kc 0.114 (2331s)
[layered] ep 2 batch 1300 loss 1.333 kc 0.099 (2374s)
[layered] ep 2 batch 1400 loss 1.487 kc 0.134 (2417s)
[layered] ep 2 batch 1500 loss 1.460 kc 0.129 (2460s)
[layered] ep 2 batch 1600 loss 1.371 kc 0.122 (2503s)
[layered] ep 2 batch 1700 loss 1.398 kc 0.122 (2546s)
[layered] ep 2 batch 1800 loss 1.312 kc 0.125 (2591s)
[layered] ep 2 batch 1900 loss 1.285 kc 0.122 (2634s)
[layered] ep 2 batch 2000 loss 1.308 kc 0.113 (2678s)
[layered] ep 2 batch 2100 loss 1.260 kc 0.124 (2722s)
[layered] ep 2 batch 2200 loss 1.449 kc 0.095 (2766s)
[layered] ep 2 batch 2300 loss 1.343 kc 0.104 (2808s)
[layered] ep 2 batch 2400 loss 1.355 kc 0.087 (2852s)
[layered] ep 2 batch 2500 loss 1.359 kc 0.105 (2896s)
[layered] ep 2 batch 2600 loss 1.321 kc 0.135 (2940s)
[layered] ep 2 batch 2700 loss 1.257 kc 0.113 (2984s)
[layered] ep 2 batch 2800 loss 1.332 kc 0.098 (3028s)
[layered] ep 2 batch 2900 loss 1.404 kc 0.101 (3072s)
[layered] ep 2 batch 3000 loss 1.338 kc 0.100 (3115s)
[layered] epoch 2: loss 1.374 val 0.400 (3156s)
[layered] ep 3 batch 0 loss 1.473 kc 0.106 (3157s)
[layered] ep 3 batch 100 loss 1.408 kc 0.110 (3200s)
[layered] ep 3 batch 200 loss 1.341 kc 0.106 (3244s)
[layered] ep 3 batch 300 loss 1.349 kc 0.109 (3286s)
[layered] ep 3 batch 400 loss 1.438 kc 0.109 (3330s)
[layered] ep 3 batch 500 loss 1.542 kc 0.106 (3374s)
[layered] ep 3 batch 600 loss 1.337 kc 0.111 (3418s)
[layered] ep 3 batch 700 loss 1.392 kc 0.111 (3461s)
[layered] ep 3 batch 800 loss 1.401 kc 0.100 (3505s)
[layered] ep 3 batch 900 loss 1.354 kc 0.137 (3549s)
[layered] ep 3 batch 1000 loss 1.299 kc 0.125 (3592s)
[layered] ep 3 batch 1100 loss 1.389 kc 0.113 (3635s)
[layered] ep 3 batch 1200 loss 1.336 kc 0.104 (3679s)
[layered] ep 3 batch 1300 loss 1.406 kc 0.104 (3722s)
[layered] ep 3 batch 1400 loss 1.490 kc 0.120 (3764s)
[layered] ep 3 batch 1500 loss 1.342 kc 0.132 (3809s)
[layered] ep 3 batch 1600 loss 1.357 kc 0.126 (3852s)
[layered] ep 3 batch 1700 loss 1.411 kc 0.125 (3895s)
[layered] ep 3 batch 1800 loss 1.405 kc 0.113 (3937s)
[layered] ep 3 batch 1900 loss 1.452 kc 0.097 (3980s)
[layered] ep 3 batch 2000 loss 1.300 kc 0.131 (4024s)
[layered] ep 3 batch 2100 loss 1.332 kc 0.099 (4068s)
[layered] ep 3 batch 2200 loss 1.373 kc 0.093 (4111s)
[layered] ep 3 batch 2300 loss 1.278 kc 0.096 (4156s)
[layered] ep 3 batch 2400 loss 1.481 kc 0.105 (4198s)
[layered] ep 3 batch 2500 loss 1.412 kc 0.136 (4241s)
[layered] ep 3 batch 2600 loss 1.360 kc 0.115 (4284s)
[layered] ep 3 batch 2700 loss 1.376 kc 0.101 (4327s)
[layered] ep 3 batch 2800 loss 1.399 kc 0.116 (4372s)
[layered] ep 3 batch 2900 loss 1.354 kc 0.096 (4416s)
[layered] ep 3 batch 3000 loss 1.325 kc 0.102 (4460s)
[layered] epoch 3: loss 1.382 val 0.409 (4502s)
[layered] ep 4 batch 0 loss 0.963 kc 0.107 (4502s)
[layered] ep 4 batch 100 loss 1.310 kc 0.101 (4546s)
[layered] ep 4 batch 200 loss 1.341 kc 0.104 (4589s)
[layered] ep 4 batch 300 loss 1.427 kc 0.109 (4632s)
