[real] start gain 2.0 threshold 0.05 kept 0.555 (56s)
[real] ep 1 batch 0 loss 1.463 kc 0.040 (57s)
[real] ep 1 batch 100 loss 1.564 kc 0.101 (101s)
[real] ep 1 batch 200 loss 1.444 kc 0.078 (143s)
[real] ep 1 batch 300 loss 1.566 kc 0.074 (187s)
[real] ep 1 batch 400 loss 1.397 kc 0.139 (231s)
[real] ep 1 batch 500 loss 1.404 kc 0.139 (273s)
[real] ep 1 batch 600 loss 1.430 kc 0.120 (317s)
[real] ep 1 batch 700 loss 1.551 kc 0.103 (359s)
[real] ep 1 batch 800 loss 1.674 kc 0.172 (402s)
[real] ep 1 batch 900 loss 1.493 kc 0.100 (446s)
[real] ep 1 batch 1000 loss 1.529 kc 0.129 (489s)
[real] ep 1 batch 1100 loss 1.514 kc 0.150 (532s)
[real] ep 1 batch 1200 loss 1.476 kc 0.103 (574s)
[real] ep 1 batch 1300 loss 1.322 kc 0.156 (618s)
[real] ep 1 batch 1400 loss 1.435 kc 0.107 (662s)
[real] ep 1 batch 1500 loss 1.440 kc 0.132 (704s)
[real] ep 1 batch 1600 loss 1.525 kc 0.098 (748s)
[real] ep 1 batch 1700 loss 1.377 kc 0.123 (790s)
[real] ep 1 batch 1800 loss 1.494 kc 0.138 (833s)
[real] ep 1 batch 1900 loss 1.471 kc 0.132 (877s)
[real] ep 1 batch 2000 loss 1.469 kc 0.131 (919s)
[real] ep 1 batch 2100 loss 1.522 kc 0.096 (961s)
[real] ep 1 batch 2200 loss 1.490 kc 0.094 (1003s)
[real] ep 1 batch 2300 loss 1.500 kc 0.119 (1047s)
[real] ep 1 batch 2400 loss 1.507 kc 0.117 (1090s)
[real] ep 1 batch 2500 loss 1.369 kc 0.104 (1134s)
[real] ep 1 batch 2600 loss 1.409 kc 0.108 (1177s)
[real] ep 1 batch 2700 loss 1.376 kc 0.114 (1220s)
[real] ep 1 batch 2800 loss 1.345 kc 0.143 (1263s)
[real] ep 1 batch 2900 loss 1.366 kc 0.144 (1306s)
[real] epoch 1: loss 1.461 val 0.388 (1383s)
[real] ep 2 batch 0 loss 0.989 kc 0.105 (1383s)
[real] ep 2 batch 100 loss 1.422 kc 0.164 (1425s)
[real] ep 2 batch 200 loss 1.304 kc 0.151 (1468s)
[real] ep 2 batch 300 loss 1.366 kc 0.123 (1511s)
[real] ep 2 batch 400 loss 1.361 kc 0.181 (1554s)
[real] ep 2 batch 500 loss 1.434 kc 0.136 (1596s)
[real] ep 2 batch 600 loss 1.375 kc 0.110 (1639s)
[real] ep 2 batch 700 loss 1.477 kc 0.116 (1681s)
[real] ep 2 batch 800 loss 1.350 kc 0.149 (1723s)
[real] ep 2 batch 900 loss 1.292 kc 0.113 (1766s)
[real] ep 2 batch 1000 loss 1.281 kc 0.154 (1808s)
[real] ep 2 batch 1100 loss 1.410 kc 0.108 (1851s)
[real] ep 2 batch 1200 loss 1.370 kc 0.096 (1894s)
[real] ep 2 batch 1300 loss 1.292 kc 0.134 (1937s)
[real] ep 2 batch 1400 loss 1.433 kc 0.114 (1979s)
[real] ep 2 batch 1500 loss 1.419 kc 0.101 (2021s)
[real] ep 2 batch 1600 loss 1.345 kc 0.145 (2064s)
[real] ep 2 batch 1700 loss 1.378 kc 0.140 (2106s)
[real] ep 2 batch 1800 loss 1.275 kc 0.147 (2150s)
[real] ep 2 batch 1900 loss 1.271 kc 0.159 (2194s)
[real] ep 2 batch 2000 loss 1.282 kc 0.127 (2237s)
[real] ep 2 batch 2100 loss 1.245 kc 0.108 (2280s)
[real] ep 2 batch 2200 loss 1.418 kc 0.150 (2323s)
[real] ep 2 batch 2300 loss 1.341 kc 0.105 (2365s)
[real] ep 2 batch 2400 loss 1.322 kc 0.153 (2408s)
[real] ep 2 batch 2500 loss 1.312 kc 0.114 (2452s)
[real] ep 2 batch 2600 loss 1.284 kc 0.136 (2495s)
[real] ep 2 batch 2700 loss 1.240 kc 0.126 (2538s)
[real] ep 2 batch 2800 loss 1.306 kc 0.172 (2582s)
[real] ep 2 batch 2900 loss 1.406 kc 0.142 (2625s)
[real] ep 2 batch 3000 loss 1.356 kc 0.133 (2667s)
[real] epoch 2: loss 1.346 val 0.394 (2708s)
[real] ep 3 batch 0 loss 1.384 kc 0.135 (2708s)
[real] ep 3 batch 100 loss 1.369 kc 0.111 (2752s)
[real] ep 3 batch 200 loss 1.331 kc 0.107 (2794s)
[real] ep 3 batch 300 loss 1.321 kc 0.183 (2837s)
[real] ep 3 batch 400 loss 1.405 kc 0.165 (2879s)
[real] ep 3 batch 500 loss 1.522 kc 0.158 (2923s)
[real] ep 3 batch 600 loss 1.299 kc 0.119 (2966s)
[real] ep 3 batch 700 loss 1.370 kc 0.132 (3009s)
[real] ep 3 batch 800 loss 1.366 kc 0.102 (3053s)
[real] ep 3 batch 900 loss 1.314 kc 0.114 (3096s)
[real] ep 3 batch 1000 loss 1.282 kc 0.149 (3138s)
[real] ep 3 batch 1100 loss 1.359 kc 0.098 (3181s)
[real] ep 3 batch 1200 loss 1.273 kc 0.108 (3224s)
[real] ep 3 batch 1300 loss 1.382 kc 0.102 (3266s)
[real] ep 3 batch 1400 loss 1.459 kc 0.121 (3308s)
[real] ep 3 batch 1500 loss 1.362 kc 0.106 (3352s)
